NOME CIRC;COSTO BOOLEANO;INPUT ALICE;INPUT BOB;DOMINIO MULTIVALORE;COSTO MULTIVALORE;INPUT ALICE;INPUT BOB
tial;51456;3;3;4;65536;3;4
exp;4608;2;2;4;2304;2;2
sqr6;705;1;1;4;384;1;2
m2;4096;2;2;4;2048;2;2
spla;1908112;4;4;4;1507328;4;4
bcd_div3_synth;56;1;1;4;32;1;1
m3;4096;2;2;4;2048;2;2
alu3;6144;2;2;4;4096;2;3
br2;32768;3;3;4;16384;3;3
m1;768;1;1;4;384;1;2
l8err;1028;2;2;4;1024;2;2
p3;3584;2;2;4;1792;2;2
pdc;2621440;4;4;4;1310720;4;4
m4;4096;2;2;4;2048;2;2
alu2;6144;2;2;4;4096;2;3
in7;45329;6;6;4;335544320;6;7
t4;8704;3;3;4;16384;3;3
newtpla2;2560;2;2;4;2048;2;3
fout;640;1;1;4;320;1;2
p1;4608;2;2;4;2304;2;2
max1024;6144;2;2;4;3072;2;3
t3;16672;3;3;4;16384;3;3
tms;3856;2;2;4;2048;2;2
mp2d;10880;3;3;4;114688;3;4
br1;32768;3;3;4;16384;3;3
in5;248452;6;6;4;117440512;6;6
amd;109696;3;3;4;196608;3;4
bench;512;1;1;4;256;1;2
f51m;2048;2;2;4;1024;2;2
mlp4;2048;2;2;4;1024;2;2
test1;2560;2;2;4;1280;2;2
alu1;120;3;3;4;16384;3;3
ex1010;10240;2;2;4;5120;2;3
apla;11776;2;2;4;6144;2;3
newapla;6242;3;3;4;20480;3;3
newtpla1;1536;2;2;4;1024;2;3
